state;total_hospital_beds;total_icu_beds;hospital_bed_occupancy_rate;icu_bed_occupancy_rate;available_hospital_beds;potentially_available_hospital_beds;available_icu_beds;potentially_available_icu_beds;adult_population;population_65;projected_infected_individuals;projected_hospitalized_individuals;projected_individuals_needing_icu_care;hospital_beds_needed_six_months;percentage_of_available_beds_needed_six_months;percentage_of_potentially_available_beds_needed_six_months;percentage_of_total_beds_needed_six_months;hospital_beds_needed_twelve_months;percentage_of_available_beds_needed_twelve_months;percentage_of_potentially_available_beds_needed_twelve_months;percentage_of_total_beds_needed_twelve_months;hospital_beds_needed_eighteen_months;percentage_of_available_beds_needed_eighteen_months;percentage_of_potentially_available_beds_needed_eighteen_months;percentage_of_total_beds_needed_eighteen_months;icu_beds_needed_six_months;percentage_of_available_icu_beds_needed_six_months;percentage_of_potentially_available_icu_beds_needed_six_months;percentage_of_total_icu_beds_needed_six_months;icu_beds_needed_twelve_months;percentage_of_available_icu_beds_needed_twelve_months;percentage_of_potentially_available_icu_beds_needed_twelve_months;percentage_of_total_icu_beds_needed_twelve_months;icu_beds_needed_eighteen_months;percentage_of_available_icu_beds_needed_eighteen_months;percentage_of_potentially_available_icu_beds_needed_eighteen_months;percentage_of_total_icu_beds_needed_eighteen_months
AK;1583;130;66;58;533;1058;55;93;552319;74340;331391;67202;13976;4480;841;423;283;2240;42;212;142;1461;274;138;92;932;1695;1002;717;466;847;501;358;304;553;327;234
AL;13959;1870;64;68;4994;9476;606;1238;3748089;762032;2248853;470718;101816;31381;628;331;225;15691;314;166;112;10233;205;108;73;6788;112;548;363;3394;56;274;181;2213;365;179;118
AR;8428;856;52;58;4069;6248;362;609;2272226;476167;1363336;286175;62109;19078;469;305;226;9539;234;153;113;6221;153;1;74;4141;1144;68;484;2070;572;34;242;1350;373;222;158
AZ;12868;1742;62;53;4938;8903;814;1278;5187520;1106362;3112512;654440;142316;43629;884;49;339;21815;442;245;17;14227;288;16;111;9488;1166;742;545;4744;583;371;272;3094;38;242;178
CA;68554;8131;67;58;22831;45692;3381;5756;29868127;5148448;17920876;3698428;786338;246562;108;54;36;123281;54;27;18;80401;352;176;117;52423;1551;911;645;26211;775;455;322;17094;506;297;21
CO;9620;1264;58;6;4033;6826;500;882;4185186;707396;2511112;517433;109804;34496;855;505;359;17248;428;253;179;11249;279;165;117;7320;1464;83;579;3660;732;415;29;2387;477;271;189
CT;6894;731;76;61;1643;4269;285;508;2831746;575757;1699048;355637;76924;23709;1443;555;344;11855;722;278;172;7731;471;181;112;5128;1799;1009;702;2564;9;505;351;1672;587;329;229
DC;2405;401;72;6;671;1538;159;280;554333;79769;332600;67741;14167;4516;673;294;188;2258;337;147;94;1473;22;96;61;944;594;337;235;472;297;169;118;308;194;11;77
DE;1864;249;72;75;516;1190;63;156;739679;160565;443807;93476;20369;6232;1208;524;334;3116;604;262;167;2032;394;171;109;1358;2156;871;545;679;1078;435;273;443;703;284;178
FL;51190;6226;66;67;17651;34421;2044;4135;16166865;3926889;9700119;2066855;456495;137790;781;4;269;68895;39;2;135;44932;255;131;88;30433;1489;736;489;15216;744;368;244;9924;486;24;159
